station_name,lat,lon,total_rides,subscriber_rides,customer_rides,path_id
"Damen Ave & Melrose Ave",41.9406,-87.6785,4140,3973,167,654
"Lincoln Ave & Roscoe St",41.94334,-87.67097,4140,3973,167,654
"Franklin St & Lake St",41.885837,-87.6355,4139,3885,254,655
"Clinton St & Madison St",41.8827519657,-87.6411902905,4139,3885,254,655
"Ellis Ave & 55th St",41.7943006205,-87.6014497734,4136,3428,708,656
"Blackstone Ave & Hyde Park Blvd",41.802562,-87.590368,4136,3428,708,656
"Southport Ave & Waveland Ave",41.94815,-87.66394,4132,3704,428,657
"Ashland Ave & Grace St",41.950687,-87.6687,4132,3704,428,657
"Streeter Dr & Illinois St",41.891071,-87.6122,4132,526,3606,658
"Fairbanks Ct & Grand Ave",41.89186,-87.62062,4132,526,3606,658
"Michigan Ave & Oak St",41.90096039,-87.62377664,4120,1532,2588,659
"Michigan Ave & Lake St",41.886024,-87.624117,4120,1532,2588,659
"St. Clair St & Erie St",41.8943451374,-87.6227983832,4120,3839,281,660
"Canal St & Madison St",41.882091,-87.639833,4120,3839,281,660
"Wabash Ave & 16th St",41.860384,-87.625813,4096,3604,492,661
"Federal St & Polk St",41.8720776329,-87.6295437729,4096,3604,492,661
"Orleans St & Merchandise Mart Plaza",41.888243,-87.63639,4095,3602,493,662
"Dearborn Pkwy & Delaware Pl",41.898969,-87.629912,4095,3602,493,662
"Canal St & Adams St",41.879255,-87.639904,4094,3784,310,663
"Wells St & Huron St",41.8947953,-87.6343743,4094,3784,310,663
"St. Clair St & Erie St",41.8943451374,-87.6227983832,4089,1026,3063,664
"Millennium Park",41.8810317,-87.62408432,4089,1026,3063,664
"Damen Ave & Grand Ave",41.89122,-87.67686,4086,3823,263,665
"Damen Ave & Chicago Ave",41.895769,-87.67722,4086,3823,263,665
"Franklin St & Quincy St",41.878724,-87.634793,4086,3545,541,666
"Michigan Ave & Washington St",41.8838927658,-87.6246491409,4086,3545,541,666
"Marine Dr & Ainslie St",41.9716,-87.650154,4083,3652,431,667
"Clarendon Ave & Leland Ave",41.967968,-87.650001,4083,3652,431,667
"DuSable Lake Shore Dr & Monroe St",41.880958,-87.616743,4077,840,3237,668
