station_a,lat_a,lon_a,station_b,lat_b,lon_b,ride_count,subscriber_count,customer_count
"Michigan Ave & 8th St",41.872773,-87.623981,"Millennium Park",41.8810317,-87.62408432,7521,2421,5100
"Ellis Ave & 58th St",41.788746,-87.601334,"Lake Park Ave & 56th St",41.793242,-87.587782,7496,6528,968
"University Ave & 57th St",41.791478,-87.599861,"Woodlawn Ave & 55th St",41.795264,-87.596471,7414,6320,1094
"Dearborn St & Adams St",41.8793563587,-87.6297910363,"Canal St & Madison St",41.882091,-87.639833,7410,7163,247
"Kedzie Ave & Milwaukee Ave",41.929567,-87.707857,"Kedzie Ave & Palmer Ct",41.921525,-87.707322,7410,6398,1012
"Wilton Ave & Belmont Ave",41.94018,-87.65304,"Southport Ave & Belmont Ave",41.93949,-87.66378,7400,7119,281
"Larrabee St & Division St",41.90348607,-87.6433534936,"Larrabee St & Kingsbury St",41.897764,-87.642884,7385,6887,498
"Canal St & Madison St",41.882091,-87.639833,"State St & Kinzie St",41.88918,-87.6277,7355,6842,513
"Wabash Ave & Adams St",41.8794723523,-87.6256886059,"Canal St & Adams St",41.879255,-87.639904,7323,6778,545
"Dearborn Pkwy & Delaware Pl",41.898969,-87.629912,"Clinton St & Washington Blvd",41.88338,-87.64117,7322,6881,441
"Federal St & Polk St",41.8720776329,-87.6295437729,"Wabash Ave & Roosevelt Rd",41.867227,-87.625961,7286,6305,981
"Daley Center Plaza",41.884241,-87.629634,"Federal St & Polk St",41.8720776329,-87.6295437729,7265,6585,680
"Federal St & Polk St",41.8720776329,-87.6295437729,"Dearborn St & Monroe St",41.881319815,-87.6295209193,7259,6461,798
"Damen Ave & Augusta Blvd",41.899714,-87.677234,"Damen Ave & Pierce Ave",41.9093960065,-87.6776919292,7255,6390,865
"Lake Park Ave & 53rd St",41.7994942937,-87.5864498959,"University Ave & 57th St",41.791478,-87.599861,7223,5891,1332
"Halsted St & Wrightwood Ave",41.929143,-87.649077,"Clark St & Wrightwood Ave",41.929546,-87.643118,7128,6254,874
"Lake Shore Dr & Diversey Pkwy",41.932684,-87.63625,"Michigan Ave & Oak St",41.90096039,-87.62377664,7126,3811,3315
"Pine Grove Ave & Irving Park Rd",41.954383,-87.648043,"Broadway & Waveland Ave",41.949074,-87.648636,7114,6724,390
"Canal St & Adams St",41.879255,-87.639904,"McClurg Ct & Illinois St",41.89102,-87.6173,7112,6828,284
"Wells St & Evergreen Ave",41.906724,-87.63483,"Wells St & Concord Ln",41.912133,-87.634656,7108,6302,806
"Lake Shore Dr & Monroe St",41.880958,-87.616743,"Lake Shore Dr & Ohio St",41.89257,-87.614492,7105,1748,5357
"Clinton St & Roosevelt Rd",41.8671177825,-87.6410879593,"Wabash Ave & Roosevelt Rd",41.867227,-87.625961,7084,5819,1265
"May St & Taylor St",41.8694821,-87.6554864,"Halsted St & Polk St",41.87184,-87.64664,7080,6749,331
